dVal1,dVal2,dVal3,dStd1,dStd2,dStd3,dStdTotal,dCovar12,dCovar13,dCovar23,dPointingErrorH,dPointingErrorV,dPointingErrorD,dAprioriStd1,dAprioriStd2,dAprioriStd3,dAprioriStdTotal,dAprioriCovar12,dAprioriCovar13,dAprioriCovar23,dTemperature,dPressure,dHumidity,
256.0379,-1449.8886,-769.6532,0.00224552,0.00267249,0.00513652,0.00621035,-3.82748e-07,2.39846e-06,-1.3582e-05,0.000307247,0.000557616,0.0184605,0.0110095,0.00862399,0.0115527,0.0181396,8.53692e-06,7.58016e-06,-4.29248e-05,25.8,1006,42,
346.1682,-1535.0300,-769.8139,0.00172938,0.00153444,0.00309527,0.00386341,1.51166e-07,1.02719e-06,-4.55492e-06,0.00014509,0.000348689,0.011547,0.011111,0.0086317,0.0116644,0.0182762,1.16297e-05,9.07958e-06,-4.0262e-05,25.7,1006,42,
340.9886,-1359.5943,-767.9721,0.00140296,0.000717737,0.00111953,0.00193308,3.88913e-07,1.59169e-07,-6.3464e-07,0.000195458,0.000162194,0.00708512,0.0108364,0.00874566,0.0114666,0.0180387,1.09574e-05,1.09974e-05,-4.38488e-05,25.7,1006,42.3,
-0.2486,123.9887,0.0082,0.000517643,0.000555688,0.000892944,0.00117222,5.49124e-08,3.63529e-07,-2.26328e-07,6.89039e-05,0.000131231,0.00413464,0.00933182,0.0102994,0.0114993,0.0180388,2.16065e-05,3.77584e-05,-2.39502e-05,25.7,1006,42.2,
-0.0351,0.0174,0.0168,0.000942072,0.00112845,0.00117455,0.00188161,6.6457e-07,5.48066e-07,-4.12248e-07,0.000164442,0.000177322,0.00701204,0.00951362,0.0102119,0.0115868,0.0181396,2.43705e-05,3.46042e-05,-2.55711e-05,25.5,1006,41.8,
1040.2942,-18.8128,-12.3110,0.0019729,0.00397218,0.0038565,0.00587735,5.81111e-06,4.39902e-06,-1.81826e-06,0.000162011,0.000255757,0.0133212,0.00921182,0.0115638,0.0122597,0.0192062,2.40119e-05,2.49183e-05,-9.96965e-06,25.5,1006,41.4,
2017.3037,-31.6818,-23.6779,0.00076344,0.00138418,0.00179252,0.00238996,4.22566e-07,6.60268e-07,-1.72242e-07,3.13032e-05,0.000151424,0.00922919,0.0105122,0.0162103,0.0167824,0.0255916,4.77866e-05,4.40872e-05,-1.24679e-05,25.4,1006,42,
2474.4491,3.3383,-29.2634,0.000920648,0.00319137,0.00203691,0.00389634,2.38106e-06,8.02132e-07,-2.79415e-07,0.000155607,8.78482e-05,0.0119882,0.0110074,0.0184306,0.0189203,0.0286152,5.62293e-05,5.31694e-05,-1.26554e-05,25.4,1006,42,
2506.8795,814.7048,-46.6509,0.000348406,0.00176509,0.00159402,0.00240371,5.85602e-08,5.52507e-07,-1.72173e-08,5.76585e-05,9.92964e-05,0.00756859,0.0103166,0.0184432,0.0185671,0.0281304,4.724e-06,5.4431e-05,-8.67364e-07,25.4,1006,42.3,
2067.4107,793.1285,-39.7372,0.000641634,0.000536598,0.00224552,0.00239625,1.31051e-08,1.20739e-06,3.28741e-08,6.42598e-05,9.74683e-05,0.00682091,0.00977597,0.0162467,0.0164037,0.0250721,4.99809e-06,4.52028e-05,-1.10922e-06,25.3,1006,42.5,
1052.7018,814.2192,-27.0253,0.000613955,0.00122138,0.00174913,0.00221994,4.62884e-08,1.07154e-06,-9.34837e-09,5.54883e-05,9.00977e-05,0.0043766,0.00857998,0.0117875,0.0120874,0.0189385,2.25462e-06,2.89517e-05,-7.28931e-07,25.3,1006,42.5,
79.7531,785.4268,-18.5007,0.000709847,0.000885218,0.00112308,0.0015965,3.07207e-08,7.41518e-07,-4.80163e-08,7.2127e-05,0.000116744,0.00355617,0.00877707,0.0106351,0.0112475,0.0177946,3.32074e-06,4.85044e-05,-3.38246e-06,25.4,1007,42.4,
107.0243,1478.3694,-29.5037,0.000841261,0.00119072,0.00130819,0.0019588,-4.03731e-07,8.58722e-07,4.01714e-07,0.000163719,0.000240244,0.00822678,0.00906522,0.0106044,0.011452,0.0180494,-1.71163e-05,4.10024e-05,1.92617e-05,25.4,1007,42.3,
1058.1574,1429.5379,-37.2547,0.000906047,0.00129653,0.00193631,0.00250024,-2.07888e-07,1.12168e-06,3.04381e-07,0.000117966,0.000133598,0.00763277,0.00883296,0.0116757,0.0121061,0.0189974,-1.48625e-05,2.7313e-05,6.82116e-06,25.4,1007,42.3,
