dVal1,dVal2,dVal3,dStd1,dStd2,dStd3,dStdTotal,dCovar12,dCovar13,dCovar23,dPointingErrorH,dPointingErrorV,dPointingErrorD,dAprioriStd1,dAprioriStd2,dAprioriStd3,dAprioriStdTotal,dAprioriCovar12,dAprioriCovar13,dAprioriCovar23,dTemperature,dPressure,dHumidity,
820.9291,1739.7681,-751.3448,0.00423916,0.00214382,0.00211854,0.00520141,-8.11854e-06,7.32229e-07,1.55179e-06,0.000281568,0.000211564,0.0126948,0.0111234,0.00907704,0.0119657,0.0186896,-2.50922e-05,1.42832e-05,3.027e-05,23.5,1024,25,
809.3035,1862.9088,-751.2063,0.0065821,0.00331861,0.00505585,0.00893861,-1.73022e-05,3.76697e-06,8.67107e-06,0.000471294,0.000348842,0.0221619,0.0112653,0.00903289,0.0120248,0.0187908,-2.42652e-05,1.25556e-05,2.89012e-05,23.5,1024,25,
697.9437,1727.7023,-753.4409,0.00450699,0.00214808,0.00303918,0.00584498,-7.57861e-06,1.39121e-06,3.44383e-06,0.000227881,0.000415228,0.0166153,0.0111954,0.00891165,0.0119258,0.0186274,-2.21684e-05,1.29929e-05,3.21628e-05,23.5,1024,25.1,
-0.4183,123.6147,0.0006,0.00227171,0.00402768,0.00251009,0.00526151,7.77114e-06,2.37988e-06,-1.00505e-06,0.000203809,0.000254404,0.0114351,0.00916734,0.0110151,0.0118999,0.0186274,2.55282e-05,3.13017e-05,-1.63399e-05,23.5,1025,24.3,
-0.0209,-0.0067,-0.0484,0.00366332,0.00610661,0.00180133,0.00734544,2.17769e-05,1.45358e-06,-9.65611e-08,0.0004307,0.00022942,0.0175897,0.00935518,0.0109203,0.0119384,0.0186895,2.80029e-05,2.93363e-05,-1.75028e-05,23.5,1025,24.1,
109.5955,1505.6343,42.8291,0.00166727,0.00417834,0.00290939,0.00535751,-4.86215e-06,3.14774e-06,1.11819e-06,0.000280901,0.000422582,0.0175523,0.00866314,0.0113661,0.0119477,0.0186275,-1.83666e-05,3.28489e-05,9.64432e-06,23.5,1025,24,
233.1472,1499.1210,42.5112,0.00198688,0.00446043,0.00432645,0.00652391,-4.87548e-06,6.68337e-06,1.88081e-06,0.000391975,0.0003521,0.0192295,0.00865146,0.0114897,0.0120149,0.0187408,-1.76148e-05,3.09313e-05,8.37375e-06,23.5,1025,24.3,
116.0542,1628.9396,42.9661,0.00118568,0.00214541,0.00243695,0.0034565,-1.40137e-06,2.14947e-06,7.73321e-07,0.000172039,0.000184652,0.00891728,0.00881524,0.0112889,0.0119757,0.0186699,-2.17529e-05,3.136e-05,1.13518e-05,23.5,1025,24.3,
109.6262,1505.6418,42.8575,0.00142619,0.00220549,0.00331802,0.00423172,-1.01065e-06,4.18772e-06,1.14626e-06,8.69169e-05,0.000503764,0.0176832,0.0086631,0.0113662,0.0119477,0.0186276,-1.83674e-05,3.28474e-05,9.64388e-06,23.5,1025,24.3,
196.4822,2967.0729,84.4849,0.00378071,0.00352632,0.00256502,0.00577131,-1.27946e-05,9.27864e-07,1.35239e-06,0.000165572,0.000151491,0.0110025,0.0116711,0.011317,0.0137782,0.0213103,-5.2116e-05,2.01762e-05,2.15625e-05,23.5,1025,23.7,
319.9257,2959.3628,84.4860,0.0026819,0.00265588,0.0042076,0.00565245,-5.83187e-06,3.0555e-06,2.97749e-06,0.000192492,0.000342309,0.0198101,0.0117943,0.0117483,0.0141682,0.0218601,-5.68972e-05,2.19025e-05,2.18635e-05,23.4,1025,23.4,
204.1542,3090.4332,83.6063,0.00542835,0.00482354,0.00681185,0.00995664,-2.3258e-05,7.4006e-06,8.46597e-06,0.000455143,0.000458385,0.0327317,0.0121492,0.0114992,0.0142516,0.021976,-5.73347e-05,2.07279e-05,2.34393e-05,23.4,1025,23.4,
196.5016,2967.0060,84.4094,0.0048704,0.00456693,0.0103294,0.0122993,-1.54721e-05,1.89209e-05,1.90614e-05,0.000243549,0.000531245,0.0286517,0.0116709,0.011317,0.013778,0.0213101,-5.2113e-05,2.01785e-05,2.1564e-05,23.4,1025,23.7,
1689.1870,2900.7261,94.1553,0.00365569,0.00609617,0.00681658,0.00984851,-2.06598e-05,7.02791e-06,4.08449e-06,0.000212306,0.000320411,0.0262997,0.0131533,0.017474,0.0193839,0.0292248,-0.000114978,4.21546e-05,2.4152e-05,23.4,1025,23.9,
1813.0170,2900.7489,93.9252,0.00199656,0.00327439,0.00484286,0.00617747,-5.49948e-06,3.53035e-06,1.78633e-06,0.000192274,0.000220399,0.0205546,0.0132866,0.0180454,0.0199185,0.0299819,-0.000120665,4.41208e-05,2.43782e-05,23.4,1025,24.1,
1689.2025,3024.2944,93.4157,0.00418299,0.00665331,0.00658583,0.0102536,-2.63946e-05,6.24087e-06,4.1182e-06,0.000287496,0.000301971,0.0289835,0.0135613,0.0175588,0.0196983,0.0296689,-0.000123157,4.24324e-05,2.58785e-05,23.4,1025,24.1,
1689.2109,2900.6801,94.0902,0.00223549,0.0031241,0.00829789,0.00914398,-4.44864e-06,1.08408e-05,5.23503e-06,0.000159252,0.000338668,0.025607,0.0131532,0.0174741,0.0193839,0.0292248,-0.000114975,4.2159e-05,2.41538e-05,23.4,1025,24.2,
1548.0367,1412.0892,52.6355,0.00110916,0.00552247,0.00341586,0.00658756,-4.06597e-06,2.49626e-06,6.68446e-07,0.00019706,0.00029002,0.0202644,0.0097806,0.0160604,0.0162844,0.0248752,-2.30028e-05,3.99429e-05,5.31839e-06,23.4,1025,23.8,
1671.8464,1409.6722,52.9805,0.00123935,0.00380271,0.00531529,0.00665198,-1.80326e-06,6.01601e-06,5.45176e-07,0.000194919,0.000247398,0.0188594,0.00992924,0.016675,0.0168873,0.025726,-2.43147e-05,4.21503e-05,5.37672e-06,23.4,1025,23.7,
1550.4403,1535.6173,53.1460,0.00177328,0.00725853,0.00522577,0.00911808,-8.95963e-06,5.78821e-06,1.46559e-06,0.000303371,0.000255844,0.023081,0.00990942,0.0161037,0.0163908,0.0250237,-2.95231e-05,4.00732e-05,6.87547e-06,23.4,1025,23.7,
1548.0343,1412.0721,52.6083,0.00135709,0.00714645,0.00374729,0.00818264,-6.81698e-06,2.94663e-06,1.04703e-06,0.000317626,0.000231588,0.022718,0.00978062,0.0160604,0.0162844,0.0248752,-2.30018e-05,3.99444e-05,5.31837e-06,23.4,1025,23.9,
1442.8926,-89.6212,9.5304,0.0015316,0.00251793,0.00594035,0.00663125,1.40404e-06,7.60336e-06,-3.09978e-06,7.94224e-05,0.000221565,0.0138014,0.0106238,0.0158249,0.0164944,0.0252063,5.31112e-05,4.11348e-05,-1.42721e-05,23.4,1025,23.9,
1564.6540,-112.1313,9.5037,0.00121938,0.00305339,0.0024517,0.00410132,2.98082e-06,1.25576e-06,-3.54696e-07,8.77429e-05,0.000160278,0.0110954,0.0108171,0.0164214,0.0170978,0.0260577,5.76611e-05,4.34359e-05,-1.48004e-05,23.4,1025,23.7,
1465.1329,31.9780,9.2652,0.00193642,0.00549037,0.00413575,0.00714131,8.76903e-06,3.85301e-06,-9.10968e-07,0.000183882,0.000216134,0.0165629,0.0104169,0.015866,0.0164161,0.0250944,4.71641e-05,4.13618e-05,-1.26386e-05,23.4,1024,23.8,
1442.9286,-89.6686,9.5417,0.00507112,0.0137514,0.00817706,0.0167834,6.38055e-05,1.53764e-05,-2.92317e-06,0.000501158,0.000318973,0.0348342,0.0106239,0.0158251,0.0164947,0.0252067,5.31149e-05,4.11349e-05,-1.42726e-05,23.4,1025,23.8,
2955.4341,-112.3500,23.3473,0.00106988,0.00367083,0.00417264,0.00565955,3.04714e-06,2.65886e-06,-6.84137e-07,8.05875e-05,0.000220595,0.0196458,0.0124154,0.0232139,0.0237336,0.0354445,9.5369e-05,6.78685e-05,-1.61231e-05,23.4,1024,24,
3072.7021,-151.9918,27.2247,0.00293154,0.0100066,0.0116898,0.0156645,2.28825e-05,2.01962e-05,-5.35746e-06,0.000230402,0.000285724,0.0314801,0.0126218,0.0238033,0.0243463,0.0363132,0.000102201,6.96465e-05,-1.67161e-05,23.4,1024,23.9,
2994.7662,4.8302,24.3229,0.00242233,0.0098366,0.00840205,0.0131613,1.97537e-05,1.0945e-05,-1.7904e-06,0.00026992,0.000370378,0.0384397,0.0122435,0.0233775,0.0237989,0.0355359,8.58102e-05,6.84077e-05,-1.43905e-05,23.4,1024,23.6,
2955.4771,-112.4206,23.2439,0.00376948,0.0152725,0.00703385,0.0172317,5.48783e-05,8.31977e-06,1.31283e-06,0.000343347,0.000228573,0.0345042,0.0124158,0.0232142,0.0237339,0.035445,9.53758e-05,6.78788e-05,-1.61265e-05,23.4,1024,23.6,
3054.9352,1337.6606,62.8621,0.00133596,0.0123025,0.00631113,0.0138913,-1.15299e-05,5.79234e-06,2.35631e-06,0.000231311,0.000176559,0.0242872,0.0115249,0.0235612,0.0236731,0.0353323,-3.3398e-05,6.56703e-05,4.9431e-06,23.4,1024,23.8,
3177.9846,1323.9872,66.0208,0.00144602,0.00827227,0.00773347,0.0114161,-4.89607e-06,8.58348e-06,7.6433e-07,0.000153728,0.000266963,0.0263352,0.011659,0.0241747,0.0242783,0.036191,-3.32611e-05,6.74819e-05,4.76165e-06,23.4,1024,23.8,
